"","exp_id","cmap_score","p","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","valid"
"1170",5416,0,1,1,"preeclampsia_vs_PretermControls","cmap","riboflavin",1.06e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","634","Riboflavine [83-88-5]","EXPT02760","83-88-5","DB00140",1
"1171",5417,0.189577585090553,1e-05,0.000204697986577181,"preeclampsia_vs_PretermControls","cmap","terfenadine",8.4e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","138","Terfenadine [50679-08-8]","C0085173","50679-08-8","DB00342",1
"1172",5419,0.163150571918073,0.00018,0.00175399361022364,"preeclampsia_vs_PretermControls","cmap","clomipramine",1.14e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","269","Clomipramine hydrochloride [17321-77-6]","C0282107","17321-77-6","DB01242",1
"1173",5426,0.0900331307434819,0.16176,0.34712517580872,"preeclampsia_vs_PretermControls","cmap","acepromazine",9e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","576","Acetopromazine maleate salt [3598-37-6]","C0000959","3598-37-6","DB01614",1
"1174",5433,0,1,1,"preeclampsia_vs_PretermControls","cmap","benzylpenicillin",1.12e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","1078","Benzylpenicillin sodium [69-57-8]","NULL","69-57-8","DB01053",1
"1175",5440,0,1,1,"preeclampsia_vs_PretermControls","cmap","metoprolol",5.8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","733","Metoprolol-(+,-) (+)-tartrate salt [56392-17-7]","C0025859","56392-17-7","DB00264",1
"1176",5448,0,1,1,"preeclampsia_vs_PretermControls","cmap","fulvestrant",1e-06,6,"MCF7","HT_HG-U133A","DMSO","Tocris","1047","ICI182,780","C0935916","NULL","DB00947",1
"1177",5472,-0.136377091019047,0.0037,0.0187770382695507,"preeclampsia_vs_PretermControls","cmap","pioglitazone",1e-05,6,"MCF7","HT_HG-U133A","DMSO","LKT Laboratories","P6594","pioglitazone HCl","C0872972","NULL","DB01132",1
"1178",5494,0.140096620157442,0.00254,0.0141368613138686,"preeclampsia_vs_PretermControls","cmap","haloperidol",1e-05,6,"MCF7","HT_HG-U133A","DMSO","Sigma-Aldrich","H1512","haloperidol","C0720809","NULL","DB00502",1
"1179",5495,0,1,1,"preeclampsia_vs_PretermControls","cmap","acetylsalicylic acid",1e-04,6,"MCF7","HT_HG-U133A","DMSO","Sigma-Aldrich","A2093","aspirin, USP","EXPT00475","NULL","DB00945",1
